2012-02-03 17:00:54,019 | DEBUG | Caught exception, must be shutting down: java.lang.IllegalStateException: Shutdown in progress | org.apache.activemq.broker.BrokerService | Thread-4
2012-02-03 17:00:54,020 | INFO  | ActiveMQ Message Broker (localhost, ID:wp-appliance-41572-1328288415334-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2012-02-03 17:00:54,020 | DEBUG | Caught exception, must be shutting down: java.lang.IllegalStateException: Shutdown in progress | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2012-02-03 17:00:54,020 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2012-02-03 17:00:54,025 | INFO  | PListStore:/var/lib/activemq/camel-social/data/localhost/tmp_storage stopped | org.apache.activemq.store.kahadb.plist.PListStore | ActiveMQ ShutdownHook
2012-02-03 17:00:54,025 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2012-02-03 17:00:54,025 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2012-02-03 17:00:54,035 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2012-02-03 17:00:54,036 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ ShutdownHook
2012-02-03 17:00:54,064 | DEBUG | Checkpoint done. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ ShutdownHook
2012-02-03 17:00:54,341 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:wp-appliance-41572-1328288415334-0:1) stopped | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2012-02-03 17:00:55,529 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | Thread-4
2012-02-03 17:00:55,530 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:wp-appliance-41572-1328288415334-0:1) stopped | org.apache.activemq.broker.BrokerService | Thread-4
2012-02-03 17:00:56,370 | DEBUG | Now attempting to figure out the type of resource: activemq.xml | org.apache.activemq.xbean.XBeanBrokerFactory | main
2012-02-03 17:00:56,409 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@a61164: startup date [Fri Feb 03 17:00:56 UTC 2012]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2012-02-03 17:00:56,845 | DEBUG | Bean factory for org.apache.activemq.xbean.XBeanBrokerFactory$1@a61164: org.springframework.beans.factory.support.DefaultListableBeanFactory@da6bf4: defining beans [org.springframework.beans.factory.config.PropertyPlaceholderConfigurer#0,org.apache.activemq.xbean.XBeanBrokerService#0]; root of factory hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2012-02-03 17:00:56,891 | DEBUG | Unable to locate MessageSource with name 'messageSource': using default [org.springframework.context.support.DelegatingMessageSource@814013] | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2012-02-03 17:00:56,893 | DEBUG | Unable to locate ApplicationEventMulticaster with name 'applicationEventMulticaster': using default [org.springframework.context.event.SimpleApplicationEventMulticaster@de1b8a] | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2012-02-03 17:00:56,993 | INFO  | PListStore:/var/lib/activemq/camel-social/data/localhost/tmp_storage started | org.apache.activemq.store.kahadb.plist.PListStore | main
2012-02-03 17:00:57,002 | DEBUG | Probably not using JRE 1.4: mx4j.tools.naming.NamingService | org.apache.activemq.broker.jmx.ManagementContext | main
2012-02-03 17:00:57,010 | DEBUG | Starting JMXConnectorServer... | org.apache.activemq.broker.jmx.ManagementContext | JMX connector
2012-02-03 17:00:57,114 | INFO  | JMX consoles can connect to service:jmx:rmi:///jndi/rmi://localhost:1099/jmxrmi | org.apache.activemq.broker.jmx.ManagementContext | JMX connector
2012-02-03 17:00:57,115 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/var/lib/activemq/camel-social/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2012-02-03 17:01:00,921 | INFO  | KahaDB is version 3 | org.apache.activemq.store.kahadb.MessageDatabase | main
2012-02-03 17:01:00,934 | DEBUG | loading | org.apache.kahadb.index.BTreeIndex | main
2012-02-03 17:01:01,134 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2012-02-03 17:01:01,134 | INFO  | Recovery replayed 1 operations from the journal in 0.184 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2012-02-03 17:01:01,355 | INFO  | ActiveMQ 5.5.0 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | main
2012-02-03 17:01:01,356 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | main
2012-02-03 17:01:01,696 | INFO  | Listening for connections at: tcp://localhost:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2012-02-03 17:01:01,696 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2012-02-03 17:01:01,698 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:wp-appliance-44044-1328288461484-0:1) started | org.apache.activemq.broker.BrokerService | main
2012-02-03 17:01:01,715 | DEBUG | Unable to locate LifecycleProcessor with name 'lifecycleProcessor': using default [org.springframework.context.support.DefaultLifecycleProcessor@b32ed4] | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2012-02-03 17:01:05,997 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:01:06,106 | DEBUG | Checkpoint done. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:01:11,109 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:01:11,195 | DEBUG | Checkpoint done. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:01:16,199 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:01:16,268 | DEBUG | Checkpoint done. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:01:21,273 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:01:21,339 | DEBUG | Checkpoint done. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:01:26,343 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:01:26,409 | DEBUG | Checkpoint done. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:01:31,414 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:01:31,497 | DEBUG | Checkpoint done. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:01:36,501 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:01:36,641 | DEBUG | Checkpoint done. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:01:41,645 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:01:41,702 | DEBUG | Checkpoint done. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:01:44,158 | INFO  | ActiveMQ Message Broker (localhost, ID:wp-appliance-44044-1328288461484-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2012-02-03 17:01:44,159 | DEBUG | Caught exception, must be shutting down: java.lang.IllegalStateException: Shutdown in progress | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2012-02-03 17:01:44,158 | INFO  | ActiveMQ Message Broker (localhost, ID:wp-appliance-44044-1328288461484-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-4
2012-02-03 17:01:44,159 | DEBUG | Caught exception, must be shutting down: java.lang.IllegalStateException: Shutdown in progress | org.apache.activemq.broker.BrokerService | Thread-4
2012-02-03 17:01:44,159 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | Thread-4
2012-02-03 17:01:44,262 | INFO  | PListStore:/var/lib/activemq/camel-social/data/localhost/tmp_storage stopped | org.apache.activemq.store.kahadb.plist.PListStore | Thread-4
